source_path,bytes,role
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_buy_low_sell_high_model.ipynb,71949,notebook
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_EPAT_get_option_chains.py,2063,script
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_EPAT_screener_buy_most_active.py,2612,script
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_EPAT_test_ME_easiest.ipynb,1627,notebook
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_EPAT_test_ME_ingest_hist.ipynb,2184,notebook
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_EPAT_test_ME_local_hist_file.ipynb,2704,notebook
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_EPAT_test_ME_simulated_by_daily_bars.ipynb,25696,notebook
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_EPAT_test_ME_spot_times.ipynb,3384,notebook
TBP04 & 05 Inclass Exercises File/Latest/TBP_04_and_05_code_example_VIX_predicts_returns.py,4800,script
TBP04 & 05 Inclass Exercises File/TBP_04_05_other_VIX_predict_market.pdf,883997,document
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_buy_low_sell_high.ipynb,37040,notebook
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_demo_buy_low_sell_high.py,1939,script
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_EPAT_buyLowSellHighModel-2.ipynb,5408,notebook
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_EPAT_buyLowSellHighModel.ipynb,9078,notebook
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_moving_average_crossover_1.py,2688,script
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_moving_average_crossover_2.py,3471,script
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_moving_average_crossover_early_close.py,3470,script
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_moving_average_crossover_email.py,4073,script
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_moving_average_crossover_handle_error.py,4406,script
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_code_moving_average_crossover_minute_bar.py,2472,script
TBP04 & 05 Inclass Exercises File/TBP_04_and_05_data_SPY_1_day_2001_01_03_2021_04_09.xlsx,406138,data
